ip,time,method,url,status,size,duration,referer,agent,class
163.0.157.123,3/5/2024 5:25,POST,/admin,200,802,1454,-,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Trident/5.0),normal
177.195.34.241,3/21/2024 20:40,GET,/profile,403,4992,1400,-,Opera/9.76.(Windows NT 5.0; pt-BR) Presto/2.9.170 Version/12.00,normal
184.130.92.123,4/1/2024 18:29,GET,/comment,500,129,725,-,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/31.0.801.0 Safari/532.1",normal
197.194.247.229,1/17/2024 3:11,GET,/admin,301,2092,3313,http://www.sanchez-jackson.com/,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; ko-KR) AppleWebKit/533.39.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6533.39.1",normal
17.248.235.225,6/9/2024 1:32,GET,/contact.html,301,2513,365,https://www.smith.com/,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/531.30.4 (KHTML, like Gecko) Version/4.0 Safari/531.30.4",normal
139.201.182.246,4/5/2024 0:51,POST,/contact.html,404,2282,4024,https://www.guerra.info/,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.2; Trident/3.1),anomaly
182.92.108.17,2/15/2024 22:35,GET,/admin,301,3779,2013,-,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/533.8.5 (KHTML, like Gecko) Version/4.0 Safari/533.8.5",anomaly
129.123.58.112,2/18/2024 11:26,GET,/comment,500,2099,4015,-,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Trident/4.1),normal
200.206.203.194,2/23/2024 13:34,GET,/products,200,3160,935,-,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/531.42.2 (KHTML, like Gecko) Version/5.1 Safari/531.42.2",normal
43.205.97.46,6/3/2024 23:24,POST,/upload,301,2422,3712,https://www.flores-bishop.org/,Mozilla/5.0 (Android 1.1; Mobile; rv:52.0) Gecko/52.0 Firefox/52.0,anomaly
146.98.103.39,4/18/2024 17:02,GET,/contact.html,500,1680,1135,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4; rv:1.9.2.20) Gecko/5077-09-16 21:37:02.125443 Firefox/3.6.13,anomaly
66.249.31.44,4/17/2024 3:58,POST,/settings,500,708,897,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6; rv:1.9.4.20) Gecko/8199-08-04 21:15:17.698273 Firefox/3.8,normal
51.232.154.144,1/2/2024 14:10,GET,/profile,403,2928,2271,-,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_7; rv:1.9.2.20) Gecko/9013-03-16 11:55:09.107697 Firefox/3.6.15,normal
53.11.25.27,4/14/2024 5:44,POST,/settings,403,267,3708,-,Mozilla/5.0 (Windows NT 5.2; ja-JP; rv:1.9.0.20) Gecko/4998-12-15 07:36:20.047470 Firefox/5.0,anomaly
136.201.118.140,4/30/2024 11:02,POST,/upload,404,3554,1842,https://www.mason.com/,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/5.1),anomaly
48.205.63.44,2/10/2024 22:39,POST,/index.html,301,1928,4773,http://www.jackson-thomas.com/,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/25.0.841.0 Safari/534.0",normal
110.14.247.210,2/17/2024 10:58,POST,/index.html,301,1674,3725,http://reese.org/,Mozilla/5.0 (Android 4.3.1; Mobile; rv:16.0) Gecko/16.0 Firefox/16.0,anomaly
169.86.70.31,6/26/2024 4:29,GET,/contact.html,403,3011,3685,-,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0),anomaly
170.12.135.147,7/15/2024 22:58,GET,/upload,200,1336,266,-,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Trident/4.1),normal
49.236.241.62,4/28/2024 4:43,GET,/admin,404,4937,1313,-,Mozilla/5.0 (Android 2.3.6; Mobile; rv:43.0) Gecko/43.0 Firefox/43.0,normal
113.51.222.181,7/3/2024 22:34,GET,/index.html,200,3918,1155,https://www.taylor.com/,Opera/8.44.(X11; Linux x86_64; et-EE) Presto/2.9.186 Version/12.00,normal
176.94.16.194,4/25/2024 3:47,GET,/settings,200,4896,1921,https://www.english-collins.org/,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_1) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/63.0.899.0 Safari/535.0",anomaly
188.253.184.35,4/2/2024 23:48,POST,/upload,200,294,4600,-,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/4.1),normal
9.98.249.131,7/14/2024 14:12,GET,/index.html,500,2745,1352,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/50.0.862.0 Safari/533.1",anomaly
54.29.7.231,5/2/2024 23:32,GET,/upload,301,3525,1291,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/28.0.847.0 Safari/536.2",anomaly
150.65.41.64,1/20/2024 0:42,POST,/settings,500,4229,2703,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/27.0.867.0 Safari/536.0",anomaly
206.28.232.54,4/12/2024 2:35,GET,/admin,403,1930,4540,-,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/531.36.4 (KHTML, like Gecko) Version/5.0.5 Safari/531.36.4",normal
66.174.137.10,7/13/2024 21:20,POST,/settings,301,3825,4729,http://www.hahn-durham.com/,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_8 rv:3.0; fil-PH) AppleWebKit/533.11.7 (KHTML, like Gecko) Version/5.0.3 Safari/533.11.7",anomaly
130.190.29.16,4/28/2024 17:27,POST,/index.html,403,1297,3143,https://burton-mccann.com/,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; ca-IT) AppleWebKit/535.48.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6535.48.1",anomaly
166.45.59.40,2/21/2024 16:32,POST,/index.html,200,2230,3280,https://www.stafford-estrada.net/,"Mozilla/5.0 (iPad; CPU iPad OS 11_4_1 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) CriOS/26.0.895.0 Mobile/69G324 Safari/532.1",anomaly
109.176.126.228,7/6/2024 8:35,POST,/comment,404,1043,2863,http://www.bailey-moore.org/,Opera/8.96.(Windows NT 5.2; my-MM) Presto/2.9.181 Version/12.00,normal
139.42.224.125,4/24/2024 19:17,GET,/settings,500,774,800,-,Opera/8.41.(X11; Linux i686; apn-IN) Presto/2.9.190 Version/11.00,normal
113.92.116.221,5/15/2024 6:31,POST,/upload,404,3836,3254,-,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; ik-CA) AppleWebKit/535.4.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6535.4.1",anomaly
16.36.72.94,3/14/2024 1:16,GET,/help,200,2060,3645,http://webb.com/,"Mozilla/5.0 (iPad; CPU iPad OS 17_3_1 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) FxiOS/18.7a1372.0 Mobile/07R279 Safari/533.1",anomaly
218.71.228.248,3/24/2024 2:24,GET,/comment,403,4054,4078,https://www.winters.com/,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/3.0),anomaly
82.254.9.22,4/11/2024 9:55,GET,/login,301,4916,1526,-,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_10_3) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/45.0.820.0 Safari/536.2",normal
10.100.182.250,5/31/2024 1:21,GET,/profile,403,3891,1476,http://www.king.biz/,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) FxiOS/14.9s0237.0 Mobile/63X548 Safari/534.0",normal
78.159.236.81,3/7/2024 19:52,POST,/profile,403,4119,104,-,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_6 rv:4.0; th-TH) AppleWebKit/535.10.5 (KHTML, like Gecko) Version/4.1 Safari/535.10.5",normal
91.132.17.17,4/21/2024 17:41,GET,/contact.html,200,3725,3251,-,Opera/8.67.(Windows CE; hi-IN) Presto/2.9.178 Version/10.00,normal
75.93.144.212,1/14/2024 5:06,POST,/index.html,200,3085,1533,-,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_0; rv:1.9.4.20) Gecko/5553-05-04 14:15:42.016312 Firefox/8.0,anomaly
27.42.98.19,4/16/2024 3:36,POST,/admin,403,2111,4006,-,"Mozilla/5.0 (Windows NT 11.0) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/49.0.852.0 Safari/531.1",anomaly
203.2.81.150,7/2/2024 21:11,POST,/help,404,3022,707,https://wheeler.org/,"Mozilla/5.0 (iPad; CPU iPad OS 16_7_7 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) CriOS/54.0.825.0 Mobile/95Y873 Safari/535.1",normal
65.46.131.176,2/7/2024 12:50,GET,/contact.html,200,4216,4934,https://www.hill-spencer.com/,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/61.0.887.0 Safari/535.0",normal
118.191.80.15,6/5/2024 14:32,POST,/contact.html,500,4152,1974,http://www.harper-dorsey.info/,"Mozilla/5.0 (Linux; Android 3.2.5) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/30.0.815.0 Safari/535.2",normal
189.166.3.207,4/4/2024 0:34,POST,/upload,404,2569,4239,-,"Mozilla/5.0 (Linux; Android 4.0.3) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/46.0.853.0 Safari/534.1",normal
11.96.89.179,1/3/2024 7:18,POST,/upload,301,4811,855,https://jordan.com/,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) CriOS/35.0.830.0 Mobile/13N181 Safari/532.1",anomaly
117.163.235.109,3/9/2024 6:51,GET,/comment,301,4811,2178,-,Opera/8.61.(X11; Linux i686; wal-ET) Presto/2.9.175 Version/12.00,normal
149.205.133.97,3/3/2024 17:13,GET,/profile,301,4522,3624,http://www.baxter-gonzalez.net/,Opera/8.36.(Windows CE; fr-CH) Presto/2.9.176 Version/12.00,anomaly
111.13.3.255,3/23/2024 4:46,POST,/products,301,636,3019,-,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.2; Trident/3.0),anomaly
146.135.78.175,1/31/2024 10:40,POST,/comment,200,2882,2070,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0; rv:1.9.6.20) Gecko/8428-12-13 12:42:30.650604 Firefox/3.8,anomaly
99.149.156.159,2/19/2024 14:16,POST,/comment,500,1585,3444,https://bentley.com/,Opera/9.55.(Windows NT 6.2; ca-AD) Presto/2.9.190 Version/10.00,anomaly
146.214.241.77,1/6/2024 20:23,GET,/products,404,726,3990,-,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; aa-ER) AppleWebKit/533.10.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6533.10.6",normal
91.103.115.241,3/22/2024 15:48,GET,/admin,200,806,4357,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_8 rv:5.0; eu-ES) AppleWebKit/531.26.4 (KHTML, like Gecko) Version/4.0 Safari/531.26.4",anomaly
91.38.155.59,2/22/2024 20:49,POST,/contact.html,301,2739,4299,http://www.colon.info/,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; hne-IN) AppleWebKit/535.44.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6535.44.1",anomaly
220.44.81.57,2/8/2024 21:27,POST,/index.html,403,868,4430,-,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/9654-08-14 21:07:36.037567 Firefox/3.8,anomaly
144.92.36.119,5/5/2024 20:01,POST,/products,404,3379,3537,https://hernandez.org/,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) FxiOS/10.7l3413.0 Mobile/60U525 Safari/532.2",normal
23.153.254.73,3/23/2024 12:13,POST,/help,403,410,4218,-,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/533.36.3 (KHTML, like Gecko) Version/4.0.2 Safari/533.36.3",normal
31.92.39.218,2/25/2024 16:01,GET,/upload,200,476,3136,-,Opera/9.14.(Windows 98; gd-GB) Presto/2.9.183 Version/10.00,normal
151.96.105.64,5/30/2024 17:29,POST,/comment,200,2349,1426,-,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_2; rv:1.9.5.20) Gecko/4963-09-12 05:56:22.001129 Firefox/3.8,normal
72.197.254.67,3/2/2024 13:06,POST,/settings,404,3672,514,-,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; ms-MY) AppleWebKit/535.27.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6535.27.4",anomaly
37.223.93.62,4/22/2024 9:04,GET,/admin,301,1447,2549,-,Opera/8.29.(Windows NT 5.1; yi-US) Presto/2.9.190 Version/12.00,anomaly
10.205.189.76,2/26/2024 2:51,GET,/index.html,200,1475,3336,-,"Mozilla/5.0 (Linux; Android 3.1) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/55.0.861.0 Safari/531.2",anomaly
197.100.128.60,4/11/2024 11:11,POST,/comment,403,1506,2061,http://www.thompson.com/,Opera/9.80.(Windows NT 6.2; kn-IN) Presto/2.9.173 Version/10.00,anomaly
217.23.118.223,5/4/2024 15:17,POST,/index.html,500,2831,4610,http://www.herring.net/,Mozilla/5.0 (Android 4.4.3; Mobile; rv:66.0) Gecko/66.0 Firefox/66.0,normal
102.124.79.148,2/17/2024 21:13,POST,/login,200,1454,3573,http://www.jenkins-watkins.com/,Opera/8.14.(X11; Linux x86_64; lb-LU) Presto/2.9.188 Version/10.00,normal
58.197.117.71,3/18/2024 5:54,GET,/settings,404,1962,3860,-,"Mozilla/5.0 (iPad; CPU iPad OS 17_4_1 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) CriOS/49.0.898.0 Mobile/53R353 Safari/535.0",anomaly
58.214.113.141,5/1/2024 13:40,GET,/login,500,4952,2062,http://www.riley.org/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/51.0.817.0 Safari/536.1",normal
199.13.43.44,5/16/2024 2:52,POST,/admin,500,766,3586,-,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/5.0),anomaly
101.8.104.134,3/21/2024 23:02,GET,/upload,301,1052,4825,https://ruiz-jones.com/,Opera/8.43.(X11; Linux x86_64; ha-NG) Presto/2.9.160 Version/10.00,anomaly
27.194.110.21,6/26/2024 5:17,GET,/contact.html,403,3210,2662,http://www.rodriguez-ray.biz/,Opera/8.26.(X11; Linux i686; kn-IN) Presto/2.9.180 Version/11.00,normal
196.158.72.216,6/14/2024 16:30,POST,/comment,500,1042,687,-,Opera/8.99.(Windows NT 10.0; hsb-DE) Presto/2.9.177 Version/12.00,normal
82.26.134.61,3/29/2024 22:53,GET,/index.html,301,3781,4546,http://jones.com/,Mozilla/5.0 (Android 2.2.3; Mobile; rv:42.0) Gecko/42.0 Firefox/42.0,normal
19.78.10.223,2/15/2024 23:31,POST,/admin,404,4235,2575,-,"Mozilla/5.0 (Windows 98) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/14.0.865.0 Safari/531.2",normal
22.248.216.126,6/25/2024 1:17,GET,/settings,200,193,3432,https://matthews-bennett.com/,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/18.0.822.0 Safari/531.2",anomaly
166.186.208.248,5/21/2024 16:21,POST,/upload,200,2132,2494,-,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_8 rv:4.0; brx-IN) AppleWebKit/534.48.4 (KHTML, like Gecko) Version/5.0 Safari/534.48.4",normal
112.223.151.124,6/5/2024 8:28,GET,/login,404,230,767,-,Opera/8.60.(X11; Linux i686; ti-ET) Presto/2.9.189 Version/10.00,normal
222.101.5.191,3/13/2024 15:05,GET,/admin,301,893,4497,-,Mozilla/5.0 (Windows 98; Win 9x 4.90; pa-PK; rv:1.9.2.20) Gecko/9259-01-20 12:37:51.338348 Firefox/8.0,anomaly
1.98.131.108,2/19/2024 5:59,POST,/settings,403,2094,913,-,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_9) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/49.0.834.0 Safari/534.0",normal
81.150.62.126,2/21/2024 9:34,GET,/contact.html,200,3574,2135,https://www.hayes-parks.com/,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_1 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) FxiOS/11.3u9982.0 Mobile/38E208 Safari/534.0",normal
100.236.76.65,4/16/2024 6:27,POST,/comment,301,1296,2626,http://johnston.biz/,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/4.0),normal
108.90.94.236,4/28/2024 15:08,GET,/login,301,1972,313,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_9 rv:5.0; se-NO) AppleWebKit/531.44.7 (KHTML, like Gecko) Version/5.0.2 Safari/531.44.7",normal
125.214.77.111,6/25/2024 19:05,GET,/help,403,14,730,https://www.shields.org/,Opera/8.79.(Windows 95; km-KH) Presto/2.9.188 Version/12.00,anomaly
121.222.243.157,5/21/2024 16:45,POST,/products,500,1356,3950,http://garcia.com/,Mozilla/5.0 (Windows CE; vi-VN; rv:1.9.0.20) Gecko/7774-01-07 02:39:15.977783 Firefox/3.6.19,normal
106.90.84.99,1/29/2024 8:10,POST,/contact.html,500,593,2779,https://www.mcdaniel-jackson.net/,Opera/9.37.(Windows NT 11.0; ga-IE) Presto/2.9.170 Version/12.00,normal
223.106.178.148,7/14/2024 18:31,POST,/products,404,665,2012,-,Opera/9.70.(X11; Linux i686; mn-MN) Presto/2.9.166 Version/11.00,anomaly
165.118.3.238,4/12/2024 17:58,POST,/help,200,3082,143,http://sloan.info/,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) CriOS/40.0.814.0 Mobile/30N678 Safari/533.2",anomaly
134.122.54.124,7/8/2024 17:45,POST,/profile,200,795,2699,-,Opera/8.26.(Windows NT 5.2; hak-TW) Presto/2.9.169 Version/11.00,anomaly
101.61.44.10,6/16/2024 2:34,GET,/contact.html,200,2567,3346,https://www.garza.biz/,"Mozilla/5.0 (Linux; Android 4.3.1) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/47.0.822.0 Safari/531.0",anomaly
50.59.164.234,3/6/2024 6:36,POST,/index.html,404,4940,2817,https://www.smith.com/,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/534.31.3 (KHTML, like Gecko) Version/4.0.1 Safari/534.31.3",normal
61.96.19.220,5/26/2024 0:09,GET,/help,403,4709,2463,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_6 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/16.5n7924.0 Mobile/18I088 Safari/536.2",anomaly
97.207.192.143,2/18/2024 20:40,POST,/login,301,462,4502,-,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/24.0.839.0 Safari/536.0",anomaly
2.160.100.223,4/25/2024 6:55,GET,/settings,301,3155,396,http://www.reyes.com/,Mozilla/5.0 (Windows NT 10.0; mai-IN; rv:1.9.1.20) Gecko/5927-04-09 01:32:15.757812 Firefox/3.6.2,normal
32.196.219.4,5/24/2024 11:46,GET,/login,301,1061,3140,-,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/27.0.837.0 Safari/532.2",normal
116.177.229.108,4/7/2024 15:18,GET,/settings,301,3353,2294,-,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Trident/5.0),normal
212.77.221.9,4/11/2024 6:14,POST,/profile,404,319,4579,https://scott.org/,Opera/8.13.(Windows NT 5.2; fa-IR) Presto/2.9.168 Version/10.00,normal
37.228.92.27,5/11/2024 2:43,POST,/contact.html,404,4509,3564,-,"Mozilla/5.0 (Linux; Android 5.0.1) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/29.0.869.0 Safari/532.1",normal
33.197.51.11,7/14/2024 15:48,POST,/index.html,403,401,4893,https://contreras.biz/,Mozilla/5.0 (Windows NT 5.01; an-ES; rv:1.9.2.20) Gecko/5693-12-25 06:56:32.068893 Firefox/13.0,anomaly
121.7.131.227,6/20/2024 16:48,GET,/index.html,301,2495,4157,http://white.com/,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/4.1),anomaly
108.189.207.53,3/30/2024 13:15,POST,/profile,200,2317,2260,https://www.williams.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_1 rv:5.0; gu-IN) AppleWebKit/533.49.5 (KHTML, like Gecko) Version/4.0.5 Safari/533.49.5",anomaly
57.211.191.196,3/18/2024 7:58,POST,/upload,301,1788,4222,http://www.velez-gutierrez.com/,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; lv-LV) AppleWebKit/534.31.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6534.31.1",anomaly
82.92.61.108,3/10/2024 19:29,POST,/contact.html,301,381,1662,https://wright.org/,"Mozilla/5.0 (Linux; Android 4.0.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/50.0.880.0 Safari/535.1",normal
173.57.56.89,5/1/2024 19:37,GET,/comment,301,1509,4190,http://www.ramirez-garcia.com/,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_6 rv:2.0; lt-LT) AppleWebKit/531.34.3 (KHTML, like Gecko) Version/5.0 Safari/531.34.3",normal
54.253.58.34,1/17/2024 17:18,POST,/profile,200,4205,3580,-,"Mozilla/5.0 (Linux; Android 1.5) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/43.0.871.0 Safari/532.1",anomaly
197.166.51.95,3/13/2024 1:52,POST,/upload,403,4124,1095,-,Mozilla/5.0 (Windows NT 6.1; hi-IN; rv:1.9.0.20) Gecko/3282-05-22 09:27:26.862671 Firefox/5.0,normal
44.61.35.19,5/21/2024 5:58,GET,/contact.html,301,4522,2195,https://www.weber.net/,Mozilla/5.0 (Windows 98; ky-KG; rv:1.9.0.20) Gecko/6168-06-01 20:32:48.924088 Firefox/3.6.2,normal
186.74.117.169,1/31/2024 14:48,GET,/index.html,403,2534,982,https://www.lindsey.info/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/52.0.862.0 Safari/535.0",normal
68.195.17.251,5/22/2024 13:27,POST,/contact.html,403,1404,1009,https://www.phillips.biz/,"Mozilla/5.0 (Windows CE) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/44.0.884.0 Safari/535.1",normal
218.9.108.8,4/8/2024 0:35,GET,/profile,403,1555,2980,-,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/3.0),normal
180.142.160.233,4/8/2024 3:47,POST,/admin,500,938,3694,-,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/533.39.7 (KHTML, like Gecko) Version/5.0.3 Safari/533.39.7",anomaly
105.205.206.30,5/28/2024 20:52,POST,/help,403,2431,492,-,Mozilla/5.0 (Windows NT 10.0; sc-IT; rv:1.9.1.20) Gecko/6728-08-05 08:48:16.582947 Firefox/3.8,normal
143.159.124.74,1/14/2024 15:09,POST,/upload,200,3368,583,-,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.01; Trident/3.0),anomaly
187.198.82.183,1/9/2024 20:49,POST,/index.html,301,3189,2887,http://www.moon.org/,Mozilla/5.0 (Android 14; Mobile; rv:47.0) Gecko/47.0 Firefox/47.0,anomaly
174.109.5.223,6/13/2024 15:20,GET,/contact.html,403,368,1525,https://www.frank.com/,Mozilla/5.0 (Android 4.0.2; Mobile; rv:49.0) Gecko/49.0 Firefox/49.0,anomaly
135.143.187.5,5/6/2024 16:32,POST,/help,200,4816,3009,http://powell.com/,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/535.28.1 (KHTML, like Gecko) Version/5.1 Safari/535.28.1",normal
140.207.140.167,1/7/2024 21:12,GET,/upload,200,4445,228,https://www.nelson-palmer.com/,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/46.0.887.0 Safari/533.0",normal
171.35.209.174,5/29/2024 6:06,POST,/products,500,4296,3747,https://www.adkins-cruz.biz/,Opera/9.16.(X11; Linux i686; om-ET) Presto/2.9.161 Version/11.00,normal
67.70.94.222,5/8/2024 13:49,GET,/index.html,301,60,3553,-,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; cy-GB) AppleWebKit/532.26.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6532.26.6",anomaly
5.57.148.209,3/12/2024 14:06,POST,/profile,200,2365,1629,https://martinez.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4 rv:5.0; ru-UA) AppleWebKit/533.14.2 (KHTML, like Gecko) Version/4.0.3 Safari/533.14.2",anomaly
122.196.227.249,3/15/2024 19:44,POST,/upload,301,3545,2226,https://www.smith.com/,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.2; Trident/3.0),anomaly
208.139.150.140,4/15/2024 17:33,GET,/contact.html,301,4509,1681,-,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/56.0.817.0 Safari/531.2",anomaly
142.162.146.86,2/28/2024 3:03,GET,/help,500,4106,4297,http://villanueva.com/,Opera/8.80.(X11; Linux x86_64; fur-IT) Presto/2.9.185 Version/11.00,normal
186.241.91.57,1/21/2024 15:31,POST,/settings,301,3874,4387,https://suarez-cole.com/,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_4 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) FxiOS/11.6x9355.0 Mobile/04F713 Safari/534.0",anomaly
46.49.251.163,6/28/2024 11:53,GET,/settings,500,2381,2515,http://www.gonzalez.com/,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; pap-AW) AppleWebKit/533.20.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6533.20.2",anomaly
121.77.46.13,1/17/2024 4:32,GET,/products,403,2474,3880,-,Mozilla/5.0 (Windows NT 10.0; tt-RU; rv:1.9.1.20) Gecko/3541-09-22 12:19:43.057877 Firefox/3.6.9,anomaly
124.162.204.109,6/6/2024 18:13,POST,/login,301,2331,4780,https://hughes-green.info/,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_2; rv:1.9.6.20) Gecko/9454-09-12 13:43:07.909515 Firefox/3.6.13,normal
68.163.246.35,5/20/2024 16:40,POST,/profile,200,505,4000,-,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; sl-SI) AppleWebKit/533.43.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6533.43.3",anomaly
